Tanggal,Komentator,Komentar,jumlahlike
2024-10-15T07:37:47Z,@fayhumaira9266,"Iya banget lagi, 3 bulan lockdown bener bener lockdown keluar rumah ke garasi pun gk pernah, segala-gala online. Dapur idup setiap saat dengan resep resep viral dari tiktok 🥹🥹",0
2024-04-16T10:53:57Z,@nevermore8962,"Alhamdulillah gua selamat dari pandemic covid, awalnya mau pake parfum tapi wanginya gak kecium tapi badan mah sehat wkwk",0
2024-04-16T00:01:34Z,@alifrifky7373,Kangen,1
2024-04-12T08:06:09Z,@Chiu-iu6tz,Siapa yang nonton ini tahun 2024,1
2024-03-29T18:39:04Z,@rendiferdiansyah9866,2024 dong:(,2
2024-03-21T22:09:13Z,@firmantabah8302,"klo dipikir pikir skrg,kita ky dibodohi dg konspirasi² yg gx jelas . . .",0
2024-05-03T13:01:37Z,@TuYu-uk8wo,"Konspirasi matamu,kaka gw meninggal garagara tu virus",1
2024-03-20T00:59:20Z,@abidsobirin7375,AWAL COVID GUE MASIH MAGANG /PKL EHH DILIBURIN 2 MINGGU SEKOLAHNYA MALAH BABLAS SAMPAI 2021,0
2024-03-19T15:57:17Z,@SISTEMREPORT,ada yang 2024 disini?,1
2024-03-18T09:28:54Z,@VinnZyyyy,Hai..... Gw dari 2024<br>Ga nyangka ternyata udah 4 tahun yang lalu🥺<br>Dan gw adalah salah orang selamat yang sama sekali tidak pernah terkena dengan covid<br><br>Gw cuma kangen vibernya aja kok hehe😔😔,2
2024-03-18T07:09:07Z,@JackRapper-y8z,😭,0
2024-03-17T11:05:37Z,@Magica__,Hai gw dari masa depan,3
2024-03-17T06:15:55Z,@rumharuhma7063,"Selamat menjalankan ibadah puasa,, Maha suci Engkau ya Rabb yang telah mencabut corona dari bumi,, semoga tidak ada lagi virus yang menular lewat udara... ini terjadi atas izin dan kehendak-Mu ya Allah 😣😞😷😭😳😍",4
2024-03-15T16:07:15Z,@gilangfebriano8199,Ultah ke 4 tahun,1
2024-03-14T16:34:05Z,@billyfernando1130,Hari ini kita sudah menang atas Covid 19... Kenangannya mungkin bagi yang sekolah dan kuliah membekas bgt. Kalau yang kerja tetap jadi kuli saat itu.,1
2024-03-14T06:16:38Z,@yanto-eu1hb,Udah 4 Tahun ajaa,2
2024-03-04T18:24:15Z,@AthoillahShulahudin-zb6hf,ADA HANTU 👻,1
2024-03-03T19:12:32Z,@Imperiar1,2020,0
2024-03-03T15:19:04Z,@Tris-Infografik,Waw,0
2024-03-03T04:25:50Z,@nattjwa,Hai 2020,1
2024-03-02T15:11:53Z,@avana11,4 tahun berlalu 😢,2
2024-03-02T12:53:36Z,@irfanramadhan9836,Kangen vibesnya🙂,2
2024-03-02T09:57:45Z,@aufanajmiizdihar8695,4 tahun lalu guys🥲,2
2024-03-02T08:39:29Z,@kiie0,Tepat 4 tahun yang lalu...,2
2024-03-02T05:38:35Z,@hikmal_kf,dh 4 tahun aja,2
2024-02-29T01:01:20Z,@dhoo.8596,Cuma kangen vibes nya doang 😢,2
2024-02-26T04:45:39Z,@kazutaarata2682,"waktu berlalu begitu cepat, udah mau 4 tahun 🙂",2
2024-02-21T07:13:43Z,@arv2462,"Absen, ane masih hidup😂",1
2024-02-19T05:24:31Z,@sugiarto_agung,2024 masih ada yang nonton?,2
2024-02-17T14:52:19Z,@Akbar-up2zk,3 tahun lalu 🙂,0
2024-02-15T20:48:14Z,@ilmi1703,"2020 tahun yang berkesan vibesnya bagiku, tidak dengan virus coronanya, 2020 banyak banget kenangan yang tidak bisa di ulang",2
2024-02-13T07:50:22Z,@G-NawDude,Bentar lagi 4 tahun lalu :(,2
2024-02-06T03:49:14Z,@T3ddy_En4,Ke sini cuman nyari Info pertamanya doang. Pas awalan Covid Daring. pas pertama kali daring bukannya nyimakin malah main game. 🙃,3
2024-01-30T15:00:43Z,@missparti2684,2020 menjadi 4 tahun yang lalu 😢🤧🤧😭😭,3
2024-01-25T02:01:51Z,@kujumpamg,"tapi aku kangen masa jayaku dulu sedih bangttt kalau bsa aku kembali ke awal sblm corona dn smoga ga ada coronaa walaupu aku ngerasain sendiri gimna waktu kena corona dn dijauhin orang” yg dampaknya smpi skrng, bukannya gimana aku egois emg krn masa jayaku disana gak skrng😭😭😭<br><br>semoga kita dijauhkan dari semua penyakitt<br><br>tapi insyaallah aku bersyukur atas segalanya semoga aku bisa kembali sprti dulu",3
2024-01-19T06:07:41Z,@Razzyy-uf2cv,"Hi,sya berasal dri masa depan virus corona telas selesai dan bumi bersih dari virus tersebut,harap kalian bertahan dan siapkan bahan&quot; kebutuhan untuk bertahan hidup",2
2024-01-18T12:50:27Z,@ShaneNathanael-ld6kv,Gila ga kerasa udah 3 tahun lalu🎉,1
2024-01-13T08:17:57Z,@bobaulztim8162,Halo aku dari 2024 😢,1
2024-01-10T14:46:25Z,@lessvoid,haiii bentar lagi 4 tahun 😔,2
2024-01-04T11:24:30Z,@hobbytamiyastb,Suasananya ketika itu 😢,2
2024-01-04T07:02:13Z,@chth2184,kangen km yg dlu nad :(,3
2024-01-02T14:06:30Z,@ythanzreal,Saya dari masa depan,1
2024-01-02T12:42:10Z,@SuguLuxu,Alumni covid 🗿🗿,1
2023-12-30T07:48:50Z,@suatusaatnanti8285,Udah 4 tahun aja,4
2023-12-25T15:28:59Z,@TOHAOFFICAL,Orang bayaran,0
2023-12-28T04:30:50Z,@dill99422,Gajelas,0
2023-12-21T03:17:41Z,@xxcupp8040,kangen masa² covid😢,3
2024-02-05T16:20:19Z,@RizkyFirdaus-yh3ec,Jangan  sampai,0
2023-12-19T11:21:57Z,@MASAHARUGOBLOK,Gw alumnus covid njir,1
2023-12-17T20:00:18Z,@zefandaxenia,Rusia akan perang lagi,1
2023-12-17T05:26:10Z,@dava335sugama4,Alumi selamat dari virus Corona,1
2023-12-14T08:39:27Z,@panduarif4492,Kita semua adalah fosil yang masih hidup,1
2023-12-08T12:33:08Z,@fadilmardiansyah2806,Aku bagain dari sejarah dunia berhasil bertahan di tengah² pandemi Tampa vaksin 😊,0
2023-12-07T23:20:43Z,@yurifasa,P,0
2023-12-06T07:58:13Z,@bambangantasena6754,Im from 2023,0
2023-12-04T01:47:12Z,@farhanrizki6845,Sejarah,2
2023-12-03T16:06:38Z,@Udinpetod.00,Kangen,0
2023-11-29T14:29:16Z,@Agus-cd5ki,Halo saya dari masa depan,0
2023-11-27T11:27:49Z,@ridiyanalivia,Hallo sayaa dari masa depan,0
2023-11-26T09:38:51Z,@axel_dhyasta08,"Terimakasih Corona , datang membawa bencana pulang membawa kenangan dan sejarah",3
2023-11-20T15:14:53Z,@nazrilfirmansyah1305,"Rindu masa-masa saat corona, cuman tidak dengan virus nya😊😅",2
2023-11-18T13:26:53Z,@Mainepep22,Waktu berlalu begitu cepat😢😢,3
2023-11-15T17:32:13Z,@muhammadadin5452,Wkwkw gw kangen vibesnya bukan virusnya pengen balik 2020,2
2023-11-15T15:40:22Z,@channeludinasep4849,2020🥲,3
2023-11-15T06:37:26Z,@Andretbt,kangen masa covid,1
2023-11-12T12:27:03Z,@k4ffanzxferdy992,flashback sama vibes 2020 tapi tidak dengan virusnya,3
2023-11-10T13:20:44Z,@kenkenz1210,3 th yg lalu.,1
2023-11-10T13:20:26Z,@kenkenz1210,3 th yg lalu.,1
2023-11-10T07:45:22Z,@gacha_boy5,Kangen kenangan tapi ga kangen virusnya,2
2023-11-09T17:46:02Z,@imgood6182,Wisata Masa Lalu,2
2023-11-01T07:13:23Z,@Taruni-r2g,Awal mulai dari kenangan,1
2023-10-31T12:13:02Z,@MrNobody86188,masa masa dimana gw offcam saat sklh online dan main game online 😢,1
2023-10-30T13:24:27Z,@muhamadiqbal132,History,1
2023-10-27T03:46:56Z,@umararkania7890,Yang nonton di2023,1
2023-10-24T16:00:15Z,@briliansatya1707,SALAM DARI 2023 OTW KE 2024,2
2023-10-17T07:09:40Z,@kikirafa4444,Gak kerasa udah hampir 4 tahun aja pengen balik ke tahun 2020,3
2023-10-30T22:34:47Z,@zaidanjamaalulail5062,"Lu aja,gua mah gk mau😂",0
2023-10-30T22:35:04Z,@zaidanjamaalulail5062,Gk enak asli corona gk bisa kemana-mana,0
2023-10-16T18:54:11Z,@wanzpreset2806,congratulations🎉,1
2023-10-11T12:28:04Z,@RizkiKaizo,Gak kerasa udah 3 tahun,1
2023-10-11T09:20:25Z,@LitaaLaura,mantap 3 tahun yg laluu ga nyangka skrg udh 2023,2
2023-10-10T07:24:53Z,@Benzzreal99,Ga nyangka 3 tahun yg lalu😌,1
2023-10-10T07:09:49Z,@Kang_agen,Kangen kenanganya😓,2
2023-10-06T07:37:46Z,@lihatadaanime8579,P mas,0
2023-10-06T04:03:46Z,@Khumaedi_22,Yang kagak percaya virus korona,0
2023-10-03T15:45:15Z,@meliodas241,Waktu sekarang berasa cepat banget udah 3 tahun berlalu dan kangen banget vibes nya dulu.😢,3
2023-09-28T09:45:52Z,@EvezzzNoob123,Halo a aku dari Tahun 2023😢😭,1
2023-09-24T20:06:22Z,@fahrigeming4797,Bawa aku ke 2020 tuhan,2
2023-09-23T05:28:16Z,@LupiiLupon_,Kangen masanya tapi tidak dengan virusnya😢,1
2023-09-22T13:19:04Z,@Gansky25,Tidak terasa 3 tahun berlalu.....<br>Dulu sekolah di liburkan 2 Minggu ternyata sampai 2 tahun<br>Flashback vibes nya tapi tidak dengan virusnya...😢,2
2023-09-21T10:51:38Z,@elzhargood,Flashback 2020🥺,1
2023-09-14T10:51:10Z,@jihoonmoshii,Hallo saya dari masa depan....,1
2023-09-13T14:14:22Z,@sulthansyahmalikfajar1152,2023 hadir,0
2023-09-09T14:49:47Z,@ytdream7947,Muncuk lagi dah varian baru,0
2023-09-09T04:45:41Z,@aveniena,Ini mah video lama,0
2023-10-10T08:03:09Z,@Afriphr19,"Emang video lama mbak, liat kapan di upload nya, 2020",0
2023-10-30T22:35:33Z,@zaidanjamaalulail5062,​@@Afriphr19😅,0
2023-10-30T22:35:44Z,@zaidanjamaalulail5062,Literasi mba,0
2023-10-30T22:40:17Z,@aveniena,@@zaidanjamaalulail5062 ya deh iya.. si paling paham literasi,0
2023-10-30T22:41:42Z,@aveniena,@@Afriphr19 Wai woi wai woi... Sopan dikit lah,0
2023-09-08T23:22:18Z,@The_Mod_Game,Kita adalah bagian dari sejarah yang selamat dari covid-19,1
2023-09-08T15:35:59Z,@ryuu_sama2370,"Yg Kangen suasana covid (anak sekolah), dulu kasus pertama covid waktu saya masih duduk di kls 8 smp, sekarang sudah kls 12 SMA sudah mau lulus.. Kangen aja gitu suasananya bukan virusnya, keuangan kluarga sulit tapi cukuplah buat makan, hidup sederhana tapi bisa tiap hari kumpul sama kluarga di rumah karna ppkm😂😂",1
2023-09-07T12:29:37Z,@aldianodeva3484,Jadi nostalgia,1
2023-09-07T11:27:08Z,@ErwinCh154,Covid 19 season 2 💀 varian baru 💀😁,2
2023-09-06T23:23:43Z,@Oca-mh5uw,Kita adalah bagian dari sejarah corona,1
2023-09-06T22:46:34Z,@evanh515,Bersiap Part 2?,2
2023-09-06T12:08:38Z,@zzz_hr,kita masuk sejarah wkwk<br>rindu masa&quot;nya tapi tidak dengan virusnya.,1
2023-09-06T10:10:08Z,@jodyfirdaus4294,Halo saya dr 2023 virus covid 19 sudah tiada,1
2023-09-05T15:20:28Z,@ZEROGT-p6h,Kangen tiktok 2019-2020 sama puasa di tahun covid vibes gg,1
2023-09-04T12:02:46Z,@fahreziarifinakbar7380,Bukan tentang virus tapi tentang kenangan nya,1
2023-09-03T06:48:22Z,@hilmisyandanaputra488,ga kerasa udah 3 tahun aja😅,1
2023-09-02T13:24:06Z,@SergioSanjaya-b7f,war is over,1
2023-09-02T12:50:41Z,@Dion-jw4wk,Tapi kan ini 2023😢😢,1
2023-09-01T06:52:46Z,@abengbengak6360,kangen era covid di era ini gw masih bahagia bngt🥺,1
2023-09-06T12:51:53Z,@Fana16-h7d,"Kangen gasii, jgn moments nya",1
2023-08-31T14:52:38Z,@davinoaldistivan6765,Gak kerasa udah 3 tahun😔,1
2023-08-31T05:56:20Z,@theevyronn,Aku dari masa depan,0
2023-08-30T18:24:34Z,@iyyannn3730,war is over,0
2023-08-28T17:21:43Z,@2Pgames315,"Hiii makasih yah corona ud nemenin  dari kelas 7 semester 2   sampai Kelas 10 😊   dan sekarang ud naik kelas 11 mksh yah ud nemenin dan temen temen ku skrng ud pada mondok tinggal gw sendiri yg blm mondok, kangen  pada nginep di rmh gw  pagi pagi jam 5 bangunin temen mabar, sumpah kangen jasa di tahun 2019",1
2023-08-28T05:15:45Z,@DANGSUTPALSU,Kangen masa Corona udah 3 tahun aja nih:),1
2023-08-27T15:21:12Z,@childhoodidn,Dari masa depan😊😊,0
2023-08-27T10:53:03Z,@ekaeditboboiboy,😊,0
2023-08-27T07:19:46Z,@evanh515,"Finally, kita bagian dari sejarah",0
2023-08-27T05:51:09Z,@arrayyanrayyan5389,Halo gua dari masa depan sekarang korona dah gak ada dan Indonesia kalah sama Vietnam di final Piala aff,0
2023-08-27T04:42:35Z,@Lihneverlus,"Bangun pagi, absen, login😁",0
2023-08-27T03:12:29Z,@khoirulrozikin625,Dah 3 tahun aja nih😢,0
2023-08-27T00:53:40Z,@bangmaa9617,Libur 2minggu jadi 2thun 😢 banyak kenangan 2019-2022,0
2023-08-26T15:25:56Z,@freefireoffcial5168,Anjay udh 2023 ae😢😅,0
2023-08-23T11:40:39Z,@__gireii,login bg,2
2023-08-22T08:01:00Z,@RafiAhmad-ct6on,2023,0
2023-08-22T08:00:20Z,@RafiAhmad-ct6on,2023,0
2023-08-21T14:03:57Z,@OppoA-vg6jz,Vibesnya kuat banget di 2020 yak😌,1
2023-08-21T02:07:06Z,@fasyaaa-ug7rh,kangen vibes Ama virus nya dikit 😢😢😢,1
2023-08-21T00:57:36Z,@aryafattahm5286,Sejarah,0
2023-08-20T09:58:19Z,@theworldgaming467,Udah tiga tahun aja,0
2023-08-13T16:45:41Z,@hendrikardiansahh3391,Jaman kuno🤣😭,0
2023-08-12T23:49:46Z,@yurelyurel2117,3 tahun yang lalu ya 😌,0
2023-08-12T17:10:26Z,@s4nwiech706,aku dari masa depannn,0
2023-08-12T09:00:22Z,@fikktm5195,Udh 3 thn aja 😌,0
2023-08-12T03:31:48Z,@nezzawahyupratama6771,3 years ago :),0
2023-08-11T12:02:24Z,@Junnn688,Hai akuh dari masa depan,1
2023-08-08T03:58:04Z,@agusadiarta5853,kenangan,0
2023-08-07T23:36:51Z,@Gunawan-27,3 tahun sudah berlalu namun  dengan kenangan nya bukan virus nya,0
2023-08-07T06:06:25Z,@catlovers-701,Ipul anak haram,0
2023-08-06T17:59:36Z,@akutakberdaya1936,Libur 2 minggu yey 😢,0
2023-08-06T02:22:09Z,@zyrexfttiktok4295,Balik kesini lagi buat nostalgia tiba&quot; udh selesai aja,0
2023-08-05T09:34:05Z,@intansabilachannel,Kangen sama masa dan vibes vibes nya,1
2023-08-05T05:58:16Z,@xyso1594,Kenangannya banyak bngt😢,2
2023-08-04T14:49:46Z,@loli_teler,"Jaman zoom,among us, google classroom, google meet,lagu feeling good,WFH,PR tiap hari,nimbun masker sama hand sanitizer,nyari makan susah karena lockdown, oksigen langka, ambulans tiap saat lewat, pengumuman kematian di masjid tiap hari, pengalaman yang tak terlupakan sekaligus mengerikan.",0
2023-08-04T12:37:39Z,@ririnrahmatullah5157,"kangen masa masa nya, bukan kangen virusnya. berkat corona aku perna memiliki teman virtual sebaik itu dan mulai sabang sampai merauke, berkat corona aku jadi pencita anime dan menjadi kpopers, aku menjadi ga jamet, aku kenal rp dan meet rl, berkat corona aku bisa merawat diri, berkat corona aku jadi lebih dewasa, dan berkat corona aku dipertemukan dengan 1 org yg perna aku cintai dengan sedalam dalam nya. semua sudah lost contact, temen online, temen rp, mutualan ig dan tiktok pun sudah hilang akunnya, bye guyssss, love u so much, ga seburuk itu kok :( kgn kenangan sm vibes nya doang",18
2023-08-20T02:35:34Z,@keyy_,"betul bgtt,kangen masa masa itu pngin balik ke masa itu tp masa nya udah habis",0
2023-08-02T13:00:52Z,@sueparno7733,Flasback coyyy,0
2023-07-31T12:03:48Z,@TunikAri-ql4yt,Akhirnya bisa terlepas juga dari pandemi ini saya kira gabakal bisa,1
2023-07-30T14:19:13Z,@Zilongyt690,Halo gw dari masa depan,1
2023-07-28T09:46:02Z,@SolehUdddin,Alhamdulillah,0
2023-07-27T14:53:35Z,@ArdianRailfans,Game over 🥀🥀,0
2023-07-27T13:56:40Z,@DaffaCuy,Ga kerasa ya 3 tahun yang lalu :),0
2023-08-05T09:34:46Z,@intansabilachannel,Iya,0
2023-07-27T02:52:21Z,@esamovie7100,"tetap semangat setelah melewati semuanya untuk bangkit kembali Jakarta, 27 Juli 2023",0
2023-07-25T16:32:08Z,@ZidnieAldino_YT,enakkan era 2020/2021 ketimbang 2022 - sekarang:)<br>bisa full mager + main hp full 24jam + sekolah online tapi kgk kerjakan naik kelas 👍,5
2023-07-27T11:54:36Z,@Darrenrblx,Among us+lemon tree..,0
2023-07-27T16:45:35Z,@ZidnieAldino_YT,@@Darrenrblx fr gw kangen tuh era,1
2023-07-24T10:51:54Z,@Ari-wn1gb,Kita telah melewati sejarah yang Ga akan pernah di lupa 😢,1
2023-07-24T08:15:40Z,@VinsMusic101,"Halo, Saya Dari Masa Depan :)",1
2023-07-22T14:11:23Z,@artisdalam,Kangen pas main diwarnet dan free fire😢,0
2023-07-22T05:33:56Z,@citraamelia8993,etdah ni corona banyak banget dejavu nya,0
2023-07-22T05:26:33Z,@kaidowororororo6883,"Gak usah ada pandemi lagi, benar2 bikin ekonomi negara lumpuh",0
2023-07-22T02:05:47Z,@chelsea6644,"3 tahun lalu, ga kerasa, Alhamdulillah keluarga gaada yg kena fatal banget, ada cuman ga parah, Allhamdullilah bersyukur bgt, semangat kalian yang kehilangan orang tersayang, terdekat, i feel u, virtual hug for u guys 🫂🫂",1
2023-08-18T09:42:22Z,@Renkaa23,Kita adalah bagian dari sejarah,0
2023-07-20T05:27:41Z,@alkadarmaulana2858,udh 3 tahun aja:),0
2023-07-20T03:08:07Z,@thefortrast,Ini akan menjadi sejarah yg sangat besar untuk diceritakan kepada anak cucu kita,3
2023-07-19T07:40:56Z,@alfarizialfa996,Hallo,1
2023-07-19T07:25:09Z,@muhammadalmuhaimin1402,3 tahun yang lalu😢,0
2023-07-19T05:46:03Z,@RafiKev,Sekarang 2023,0
2023-07-18T09:03:45Z,@ridwangemingdani7786,Yah udh 3 tahun aja,0
2023-07-18T02:16:17Z,@Bolengae,covid 19 yang bikin main ff dulu sangat seruh😢,0
2023-07-17T12:45:57Z,@RizkyRamdan-e4m,Gk kerasa 3tahun lalu🙂🙂,0
2023-07-16T11:36:45Z,@dianrafael9554,Rindu dengan Vibes Nya tetapi dulu Pas corona Orang tua saya Cerai😊,0
2023-07-12T23:29:29Z,@m.fikri.ihsan.,Kenangan nya tak terlupakan 😊,1
2023-07-18T02:15:31Z,@Bolengae,Jaman main ff,0
2023-07-12T15:36:31Z,@disharamanditya2965,Tidak terasa sudah 3 tahun berlalu tapi kenangan paing banyak di 2020 dan 2021,0
2023-07-11T10:03:38Z,@clies,"huaaa mama, rindu vibes 2020",0
2023-07-11T04:49:34Z,@fathirganteng1710,kita adalah bagian dari sejarah😊,2
2023-07-09T09:30:20Z,@BocilKematian02,2023,0
