,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
21,,0.0,2024-08-05,10:56:46,choirirohmadefendi5600,positive
22,cuma gw yg dadi 2024,0.0,2024-08-05,03:04:43,DimasRohin,negative
23,login,0.0,2024-08-04,05:08:30,silokilaibramasta8924,positive
24,libur pak,0.0,2024-07-31,23:57:12,h3h3boy_,positive
25,kalian hebatt bisa selamat dari corona,2.0,2024-07-31,10:51:02,fiella124,positive
26,,0.0,2024-07-29,05:28:43,HanifInfor,positive
27,tumben pada liat berita di youtube,0.0,2024-07-27,23:53:04,FendiAditya-k5n,neutral
28,sampai sekarang masih kepo 2 org depok tu siapa,1.0,2024-07-27,17:04:05,uvisriwidyanazzala8667,neutral
29,tau nih biang kerok nya berimbas kemana2,0.0,2024-08-23,09:44:09,tete-bw3kd,neutral
30,gak kerasa ya udah 4 tahun yang lalu sejarah yang tidak akan pernah dilupakan,5.0,2024-07-24,14:11:23,HefiXzyonk21,neutral
31,,0.0,2024-07-21,05:02:05,Zakiarista,positive
32,halo minn,0.0,2024-07-19,15:40:07,NFS199,neutral
33,kangen pas 2020,2.0,2024-07-17,10:20:51,rafelgg2045,negative
34,awal mula 100rb nyawa meninggal,3.0,2024-07-14,06:10:18,FlanJk,negative
35,saya selamat dari corona 2020,3.0,2024-07-13,05:34:01,RIDOH-GAMING,neutral
36,senghay kmi dri masa depan kami sedang rindu masa ini tapi tidak dengan masa kami,2.0,2024-07-12,10:11:19,MuhamadFirmaan,negative
37,ga kerasa udah 4 tahun dulu pas covid masih sd sekarang ga nyangka udah sma aja,1.0,2024-07-12,05:47:20,gilangkusnandar9637,neutral
38,sama,0.0,2024-07-23,17:38:18,Seseorangywd,positive
39,nyimak,0.0,2024-07-12,04:51:12,yaziadityas6084,neutral
40,jadi rindu libur 2 minggu,2.0,2024-07-07,19:48:04,AndiAlif-ry2kv,neutral
41,4 tahun yang lalu,1.0,2024-07-05,02:46:55,08fadhillahbagasseptianto77,negative
42,kangen banget,2.0,2024-06-27,22:17:38,Nijanhamdun,negative
43,saya dan kita adalah bagian dari sejarah dunia yg tidak terlupakan kita semua adalah orang orang yang beruntung betapa kelamnya tahun tersebut banyak orang orang yang meninggal banyak orang orang yang bersedih karena ditinggal orang tersayangnya,3.0,2024-06-27,04:19:52,nsjdh143,positive
44,,0.0,2024-06-27,04:17:45,nsjdh143,positive
45,hallo saya dari 2024,0.0,2024-06-26,01:56:09,rakasukma1083,neutral
46,,0.0,2024-06-25,09:05:09,PEPEK-GTG,positive
47,mungkin berbahaya tapi percayalah covid 19 adalah hal yang tidak dapat dilupakan,1.0,2024-06-12,18:48:08,ixora_4447,positive
48,ternyata 4thn yg lalu ya banyak bangettt kenangan bersama teman dan banyak juga teman online hehe,2.0,2024-06-07,03:58:57,fikfik400,positive
49,ternyata udah 4thn yang lalu ya,0.0,2024-06-03,03:38:26,azizahrizkihestis4797,negative
50,2024,0.0,2024-05-29,11:40:03,GTX.Founders_EdiTion,positive
51,yang kena covid peama orangnya meninggal gak ya,0.0,2024-05-28,16:19:16,rickyhalim6283,negative
52,entahlah harusnya mereka jangan balik dulu ke indonesia ya,0.0,2024-06-18,12:52:51,tete-bw3kd,negative
53,pengen balik ke tahun 2020 kangen datang membawa duka pergi meninggalkan kenangan,1.0,2024-05-26,13:33:27,Vrhnlf,negative
54,kangen,0.0,2024-05-26,09:46:56,IKYYY1945,negative
55,iya loh sedih,1.0,2024-05-26,13:32:01,Vrhnlf,negative
56,awal quot kecanduan dirumah terus,1.0,2024-05-23,15:20:26,chikotzy6685,negative
57,jadi nostalgia,0.0,2024-05-23,13:21:47,uchihasasuke2961,neutral
58,amit quot dah kalau harus balik lagi ke jaman tersebut,0.0,2024-05-23,11:26:18,fajrimahardhika8277,neutral
59,2024 hadir,0.0,2024-05-22,15:55:36,magungsyahrullah7238,positive
60,woyyyyyyyyyyyyyyyy,0.0,2024-05-19,13:32:54,ibnu9805,positive
61,lemon tree,0.0,2024-05-19,08:40:40,adilhilsyam361,positive
62,lemon tree,0.0,2024-05-19,08:40:40,adilhilsyam361,positive
63,lemon tree,0.0,2024-05-19,08:40:38,adilhilsyam361,positive
64,depok emang selalu why,0.0,2024-05-19,04:56:00,Merry_Christ.666,positive
65,alhamdulillah kita bisa melewati ini semua semoga tidak akan terulang lagi dengan kasus yang sama,1.0,2024-05-17,12:01:46,DimasRio-rw2ig,positive
66,kok kangen ya,0.0,2024-05-17,02:39:10,AkunEpep-qg3ff,negative
67,salam dari masa depan,0.0,2024-05-16,12:05:37,irawati5728,neutral
68,dari masa depan,0.0,2024-05-15,03:58:44,aldrinpagewang7392,neutral
69,gk kerasa udh 4thn aja,0.0,2024-05-12,05:04:22,AlfianAlfian-l9p,negative
70,gw dari 2024,0.0,2024-05-11,03:40:35,RickyYuda-jn7xm,neutral
71,hallo libur panjang 2020 2022,1.0,2024-05-08,10:26:20,WarbenB,positive
72,kangen jaman itu 3 bulan dirumah aja cuma nonton tv youtube dll dan alhamdulillah di gaji full ama perusahaan asli enak bgt saat itu,0.0,2024-05-05,04:33:10,Dzaki8613,neutral
73,4 tahun yang lalu,0.0,2024-05-03,14:33:56,nasipadangsiangsore3711,negative
74,damn,0.0,2024-05-02,19:49:33,derzul,neutral
75,sekarang masih ada gk sih berita kaya gini,0.0,2024-05-01,15:47:52,ilhamsujadi7179,negative
76,awalnya sih libur 2 minggu,0.0,2024-05-01,10:30:43,Addin-h8o,neutral
77,nostalgia,1.0,2024-04-30,09:30:08,Imaseee859,neutral
78,udah 4 taun ajaa,1.0,2024-04-26,14:36:04,KINGKENZOOO,positive
79,flashback banget cuk dimana gw di pulangkan dari pondok rasa nya kayak lagi gawat darurat banget saat itu padahal bentar lagi puasa kangen masa masa temen online ga sombong nonton tiktok setiap saat karna ga bisa beraktivitas tiap hari nya ga bole keluar dari rumah kangen banget masa nya bukan virus nya terima berkat cobaan buat kita seluruh dunia gw khususnya levih dewasa jalani hidup selamat buat kita sudah lepat dari corona,3.0,2024-04-19,16:17:41,gempalaofficial2036,negative
80,iya banget lagi 3 bulan lockdown bener bener lockdown keluar rumah ke garasi pun gk pernah segala gala online dapur idup setiap saat dengan resep resep viral dari tiktok,0.0,2024-10-15,07:37:47,fayhumaira9266,positive
81,alhamdulillah gua selamat dari pandemic covid awalnya mau pake parfum tapi wanginya gak kecium tapi badan mah sehat wkwk,0.0,2024-04-16,10:53:57,nevermore8962,positive
82,kangen,1.0,2024-04-16,00:01:34,alifrifky7373,negative
83,siapa yang nonton ini tahun 2024,1.0,2024-04-12,08:06:09,Chiu-iu6tz,neutral
84,2024 dong,2.0,2024-03-29,18:39:04,rendiferdiansyah9866,positive
85,klo dipikir pikir skrg kita ky dibodohi dg konspirasi yg gx jelas,0.0,2024-03-21,22:09:13,firmantabah8302,negative
86,konspirasi matamu kaka gw meninggal garagara tu virus,1.0,2024-05-03,13:01:37,TuYu-uk8wo,negative
87,awal covid gue masih magang pkl ehh diliburin 2 minggu sekolahnya malah bablas sampai 2021,0.0,2024-03-20,00:59:20,abidsobirin7375,negative
88,ada yang 2024 disini,1.0,2024-03-19,15:57:17,SISTEMREPORT,neutral
89,hai gw dari 2024ga nyangka ternyata udah 4 tahun yang lalu dan gw adalah salah orang selamat yang sama sekali tidak pernah terkena dengan covidgw cuma kangen vibernya aja kok hehe,2.0,2024-03-18,09:28:54,VinnZyyyy,neutral
90,,0.0,2024-03-18,07:09:07,JackRapper-y8z,positive
91,hai gw dari masa depan,3.0,2024-03-17,11:05:37,Magica__,neutral
92,selamat menjalankan ibadah puasa maha suci engkau ya rabb yang telah mencabut corona dari bumi semoga tidak ada lagi virus yang menular lewat udara ini terjadi atas izin dan kehendak mu ya allah,4.0,2024-03-17,06:15:55,rumharuhma7063,positive
93,ultah ke 4 tahun,1.0,2024-03-15,16:07:15,gilangfebriano8199,neutral
94,hari ini kita sudah menang atas covid 19 kenangannya mungkin bagi yang sekolah dan kuliah membekas bgt kalau yang kerja tetap jadi kuli saat itu,1.0,2024-03-14,16:34:05,billyfernando1130,positive
95,udah 4 tahun ajaa,2.0,2024-03-14,06:16:38,yanto-eu1hb,neutral
96,ada hantu,1.0,2024-03-04,18:24:15,AthoillahShulahudin-zb6hf,neutral
97,2020,0.0,2024-03-03,19:12:32,Imperiar1,positive
98,waw,0.0,2024-03-03,15:19:04,Tris-Infografik,neutral
99,hai 2020,1.0,2024-03-03,04:25:50,nattjwa,neutral
100,4 tahun berlalu,2.0,2024-03-02,15:11:53,avana11,negative
101,kangen vibesnya,2.0,2024-03-02,12:53:36,irfanramadhan9836,negative
102,4 tahun lalu guys,2.0,2024-03-02,09:57:45,aufanajmiizdihar8695,negative
103,tepat 4 tahun yang lalu,2.0,2024-03-02,08:39:29,kiie0,negative
104,dh 4 tahun aja,2.0,2024-03-02,05:38:35,hikmal_kf,neutral
105,cuma kangen vibes nya doang,2.0,2024-02-29,01:01:20,dhoo.8596,neutral
106,waktu berlalu begitu cepat udah mau 4 tahun,2.0,2024-02-26,04:45:39,kazutaarata2682,negative
107,absen ane masih hidup,1.0,2024-02-21,07:13:43,arv2462,neutral
108,2024 masih ada yang nonton,2.0,2024-02-19,05:24:31,sugiarto_agung,negative
109,3 tahun lalu,0.0,2024-02-17,14:52:19,Akbar-up2zk,negative
110,2020 tahun yang berkesan vibesnya bagiku tidak dengan virus coronanya 2020 banyak banget kenangan yang tidak bisa di ulang,2.0,2024-02-15,20:48:14,ilmi1703,positive
111,bentar lagi 4 tahun lalu,2.0,2024-02-13,07:50:22,G-NawDude,neutral
112,ke sini cuman nyari info peamanya doang pas awalan covid daring pas peama kali daring bukannya nyimakin malah main game,3.0,2024-02-06,03:49:14,T3ddy_En4,neutral
113,2020 menjadi 4 tahun yang lalu,3.0,2024-01-30,15:00:43,missparti2684,positive
114,tapi aku kangen masa jayaku dulu sedih bangttt kalau bsa aku kembali ke awal sblm corona dn smoga ga ada coronaa walaupu aku ngerasain sendiri gimna waktu kena corona dn dijauhin orang yg dampaknya smpi skrng bukannya gimana aku egois emg krn masa jayaku disana gak skrng semoga kita dijauhkan dari semua penyakitttapi insyaallah aku bersyukur atas segalanya semoga aku bisa kembali spi dulu,3.0,2024-01-25,02:01:51,kujumpamg,negative
115,hi sya berasal dri masa depan virus corona telas selesai dan bumi bersih dari virus tersebut harap kalian beahan dan siapkan bahan quot kebutuhan untuk beahan hidup,2.0,2024-01-19,06:07:41,Razzyy-uf2cv,positive
116,gila ga kerasa udah 3 tahun lalu,1.0,2024-01-18,12:50:27,ShaneNathanael-ld6kv,negative
117,halo aku dari 2024,1.0,2024-01-13,08:17:57,bobaulztim8162,neutral
118,haiii bentar lagi 4 tahun,2.0,2024-01-10,14:46:25,lessvoid,neutral
119,suasananya ketika itu,2.0,2024-01-04,11:24:30,hobbytamiyastb,positive
120,kangen km yg dlu nad,3.0,2024-01-04,07:02:13,chth2184,negative
121,saya dari masa depan,1.0,2024-01-02,14:06:30,ythanzreal,neutral
122,alumni covid,1.0,2024-01-02,12:42:10,SuguLuxu,neutral
123,udah 4 tahun aja,4.0,2023-12-30,07:48:50,suatusaatnanti8285,neutral
124,orang bayaran,0.0,2023-12-25,15:28:59,TOHAOFFICAL,positive
125,gajelas,0.0,2023-12-28,04:30:50,dill99422,positive
126,kangen masa covid,3.0,2023-12-21,03:17:41,xxcupp8040,negative
127,jangan sampai,0.0,2024-02-05,16:20:19,RizkyFirdaus-yh3ec,negative
128,gw alumnus covid njir,1.0,2023-12-19,11:21:57,MASAHARUGOBLOK,negative
129,rusia akan perang lagi,1.0,2023-12-17,20:00:18,zefandaxenia,positive
130,alumi selamat dari virus corona,1.0,2023-12-17,05:26:10,dava335sugama4,positive
131,kita semua adalah fosil yang masih hidup,1.0,2023-12-14,08:39:27,panduarif4492,positive
132,aku bagain dari sejarah dunia berhasil beahan di tengah pandemi tampa vaksin,0.0,2023-12-08,12:33:08,fadilmardiansyah2806,positive
133,p,0.0,2023-12-07,23:20:43,yurifasa,positive
134,im from 2023,0.0,2023-12-06,07:58:13,bambangantasena6754,negative
135,sejarah,2.0,2023-12-04,01:47:12,farhanrizki6845,positive
136,kangen,0.0,2023-12-03,16:06:38,Udinpetod.00,negative
137,halo saya dari masa depan,0.0,2023-11-29,14:29:16,Agus-cd5ki,neutral
138,hallo sayaa dari masa depan,0.0,2023-11-27,11:27:49,ridiyanalivia,neutral
139,terimakasih corona datang membawa bencana pulang membawa kenangan dan sejarah,3.0,2023-11-26,09:38:51,axel_dhyasta08,neutral
140,rindu masa masa saat corona cuman tidak dengan virus nya,2.0,2023-11-20,15:14:53,nazrilfirmansyah1305,negative
141,waktu berlalu begitu cepat,3.0,2023-11-18,13:26:53,Mainepep22,negative
142,wkwkw gw kangen vibesnya bukan virusnya pengen balik 2020,2.0,2023-11-15,17:32:13,muhammadadin5452,negative
143,2020,3.0,2023-11-15,15:40:22,channeludinasep4849,positive
144,kangen masa covid,1.0,2023-11-15,06:37:26,Andretbt,negative
145,flashback sama vibes 2020 tapi tidak dengan virusnya,3.0,2023-11-12,12:27:03,k4ffanzxferdy992,negative
146,3 th yg lalu,1.0,2023-11-10,13:20:44,kenkenz1210,negative
147,3 th yg lalu,1.0,2023-11-10,13:20:26,kenkenz1210,negative
148,kangen kenangan tapi ga kangen virusnya,2.0,2023-11-10,07:45:22,gacha_boy5,negative
149,wisata masa lalu,2.0,2023-11-09,17:46:02,imgood6182,negative
150,awal mulai dari kenangan,1.0,2023-11-01,07:13:23,Taruni-r2g,negative
151,masa masa dimana gw offcam saat sklh online dan main game online,1.0,2023-10-31,12:13:02,MrNobody86188,neutral
152,history,1.0,2023-10-30,13:24:27,muhamadiqbal132,neutral
153,yang nonton di2023,1.0,2023-10-27,03:46:56,umararkania7890,negative
154,salam dari 2023 otw ke 2024,2.0,2023-10-24,16:00:15,briliansatya1707,neutral
155,gak kerasa udah hampir 4 tahun aja pengen balik ke tahun 2020,3.0,2023-10-17,07:09:40,kikirafa4444,neutral
156,lu aja gua mah gk mau,0.0,2023-10-30,22:34:47,zaidanjamaalulail5062,negative
157,gk enak asli corona gk bisa kemana mana,0.0,2023-10-30,22:35:04,zaidanjamaalulail5062,negative
158,congratulations,1.0,2023-10-16,18:54:11,wanzpreset2806,positive
159,gak kerasa udah 3 tahun,1.0,2023-10-11,12:28:04,RizkiKaizo,neutral
160,mantap 3 tahun yg laluu ga nyangka skrg udh 2023,2.0,2023-10-11,09:20:25,LitaaLaura,positive
161,ga nyangka 3 tahun yg lalu,1.0,2023-10-10,07:24:53,Benzzreal99,negative
162,kangen kenanganya,2.0,2023-10-10,07:09:49,Kang_agen,negative
163,p mas,0.0,2023-10-06,07:37:46,lihatadaanime8579,negative
164,yang kagak percaya virus korona,0.0,2023-10-06,04:03:46,Khumaedi_22,positive
165,waktu sekarang berasa cepat banget udah 3 tahun berlalu dan kangen banget vibes nya dulu,3.0,2023-10-03,15:45:15,meliodas241,negative
166,halo a aku dari tahun 2023,1.0,2023-09-28,09:45:52,EvezzzNoob123,neutral
167,bawa aku ke 2020 tuhan,2.0,2023-09-24,20:06:22,fahrigeming4797,positive
168,kangen masanya tapi tidak dengan virusnya,1.0,2023-09-23,05:28:16,LupiiLupon_,negative
169,tidak terasa 3 tahun berlalu dulu sekolah di liburkan 2 minggu ternyata sampai 2 tahunflashback vibes nya tapi tidak dengan virusnya,2.0,2023-09-22,13:19:04,Gansky25,negative
170,flashback 2020,1.0,2023-09-21,10:51:38,elzhargood,positive
171,hallo saya dari masa depan,1.0,2023-09-14,10:51:10,jihoonmoshii,neutral
172,2023 hadir,0.0,2023-09-13,14:14:22,sulthansyahmalikfajar1152,positive
173,muncuk lagi dah varian baru,0.0,2023-09-09,14:49:47,ytdream7947,negative
174,ini mah video lama,0.0,2023-09-09,04:45:41,aveniena,negative
175,emang video lama mbak liat kapan di upload nya 2020,0.0,2023-10-10,08:03:09,Afriphr19,neutral
176,afriphr19,0.0,2023-10-30,22:35:33,zaidanjamaalulail5062,positive
177,literasi mba,0.0,2023-10-30,22:35:44,zaidanjamaalulail5062,positive
178,zaidanjamaalulail5062 ya deh iya si paling paham literasi,0.0,2023-10-30,22:40:17,aveniena,neutral
179,afriphr19 wai woi wai woi sopan dikit lah,0.0,2023-10-30,22:41:42,aveniena,neutral
180,kita adalah bagian dari sejarah yang selamat dari covid 19,1.0,2023-09-08,23:22:18,The_Mod_Game,positive
181,yg kangen suasana covid anak sekolah dulu kasus peama covid waktu saya masih duduk di kls 8 smp sekarang sudah kls 12 sma sudah mau lulus kangen aja gitu suasananya bukan virusnya keuangan kluarga sulit tapi cukuplah buat makan hidup sederhana tapi bisa tiap hari kumpul sama kluarga di rumah karna ppkm,1.0,2023-09-08,15:35:59,ryuu_sama2370,negative
182,jadi nostalgia,1.0,2023-09-07,12:29:37,aldianodeva3484,neutral
183,covid 19 season 2 varian baru,2.0,2023-09-07,11:27:08,ErwinCh154,neutral
184,kita adalah bagian dari sejarah corona,1.0,2023-09-06,23:23:43,Oca-mh5uw,positive
185,bersiap pa 2,2.0,2023-09-06,22:46:34,evanh515,neutral
186,kita masuk sejarah wkwkrindu masa quot nya tapi tidak dengan virusnya,1.0,2023-09-06,12:08:38,zzz_hr,negative
187,halo saya dr 2023 virus covid 19 sudah tiada,1.0,2023-09-06,10:10:08,jodyfirdaus4294,neutral
188,kangen tiktok 2019 2020 sama puasa di tahun covid vibes gg,1.0,2023-09-05,15:20:28,ZEROGT-p6h,neutral
189,bukan tentang virus tapi tentang kenangan nya,1.0,2023-09-04,12:02:46,fahreziarifinakbar7380,negative
190,ga kerasa udah 3 tahun aja,1.0,2023-09-03,06:48:22,hilmisyandanaputra488,neutral
191,war is over,1.0,2023-09-02,13:24:06,SergioSanjaya-b7f,neutral
192,tapi kan ini 2023,1.0,2023-09-02,12:50:41,Dion-jw4wk,negative
193,kangen era covid di era ini gw masih bahagia bngt,1.0,2023-09-01,06:52:46,abengbengak6360,neutral
194,kangen gasii jgn moments nya,1.0,2023-09-06,12:51:53,Fana16-h7d,negative
195,gak kerasa udah 3 tahun,1.0,2023-08-31,14:52:38,davinoaldistivan6765,neutral
196,aku dari masa depan,0.0,2023-08-31,05:56:20,theevyronn,positive
197,war is over,0.0,2023-08-30,18:24:34,iyyannn3730,neutral
198,hiii makasih yah corona ud nemenin dari kelas 7 semester 2 sampai kelas 10 dan sekarang ud naik kelas 11 mksh yah ud nemenin dan temen temen ku skrng ud pada mondok tinggal gw sendiri yg blm mondok kangen pada nginep di rmh gw pagi pagi jam 5 bangunin temen mabar sumpah kangen jasa di tahun 2019,1.0,2023-08-28,17:21:43,2Pgames315,neutral
199,kangen masa corona udah 3 tahun aja nih,1.0,2023-08-28,05:15:45,DANGSUTPALSU,neutral
200,dari masa depan,0.0,2023-08-27,15:21:12,childhoodidn,neutral
201,,0.0,2023-08-27,10:53:03,ekaeditboboiboy,positive
202,finally kita bagian dari sejarah,0.0,2023-08-27,07:19:46,evanh515,positive
203,halo gua dari masa depan sekarang korona dah gak ada dan indonesia kalah sama vietnam di final piala aff,0.0,2023-08-27,05:51:09,arrayyanrayyan5389,neutral
204,bangun pagi absen login,0.0,2023-08-27,04:42:35,Lihneverlus,neutral
205,dah 3 tahun aja nih,0.0,2023-08-27,03:12:29,khoirulrozikin625,neutral
206,libur 2minggu jadi 2thun banyak kenangan 2019 2022,0.0,2023-08-27,00:53:40,bangmaa9617,positive
207,anjay udh 2023 ae,0.0,2023-08-26,15:25:56,freefireoffcial5168,positive
208,login bg,2.0,2023-08-23,11:40:39,__gireii,positive
209,2023,0.0,2023-08-22,08:01:00,RafiAhmad-ct6on,positive
210,2023,0.0,2023-08-22,08:00:20,RafiAhmad-ct6on,positive
211,vibesnya kuat banget di 2020 yak,1.0,2023-08-21,14:03:57,OppoA-vg6jz,positive
212,kangen vibes ama virus nya dikit,1.0,2023-08-21,02:07:06,fasyaaa-ug7rh,negative
213,sejarah,0.0,2023-08-21,00:57:36,aryafattahm5286,positive
214,udah tiga tahun aja,0.0,2023-08-20,09:58:19,theworldgaming467,neutral
215,jaman kuno,0.0,2023-08-13,16:45:41,hendrikardiansahh3391,neutral
216,3 tahun yang lalu ya,0.0,2023-08-12,23:49:46,yurelyurel2117,negative
217,aku dari masa depannn,0.0,2023-08-12,17:10:26,s4nwiech706,positive
218,udh 3 thn aja,0.0,2023-08-12,09:00:22,fikktm5195,positive
219,3 years ago,0.0,2023-08-12,03:31:48,nezzawahyupratama6771,positive
220,hai akuh dari masa depan,1.0,2023-08-11,12:02:24,Junnn688,neutral
221,kenangan,0.0,2023-08-08,03:58:04,agusadiarta5853,negative
222,3 tahun sudah berlalu namun dengan kenangan nya bukan virus nya,0.0,2023-08-07,23:36:51,Gunawan-27,negative
223,ipul anak haram,0.0,2023-08-07,06:06:25,catlovers-701,negative
224,libur 2 minggu yey,0.0,2023-08-06,17:59:36,akutakberdaya1936,neutral
225,balik kesini lagi buat nostalgia tiba quot udh selesai aja,0.0,2023-08-06,02:22:09,zyrexfttiktok4295,neutral
226,kangen sama masa dan vibes vibes nya,1.0,2023-08-05,09:34:05,intansabilachannel,neutral
227,kenangannya banyak bngt,2.0,2023-08-05,05:58:16,xyso1594,negative
228,jaman zoom among us google classroom google meet lagu feeling good wfh pr tiap hari nimbun masker sama hand sanitizer nyari makan susah karena lockdown oksigen langka ambulans tiap saat lewat pengumuman kematian di masjid tiap hari pengalaman yang tak terlupakan sekaligus mengerikan,0.0,2023-08-04,14:49:46,loli_teler,neutral
229,kangen masa masa nya bukan kangen virusnya berkat corona aku perna memiliki teman viual sebaik itu dan mulai sabang sampai merauke berkat corona aku jadi pencita anime dan menjadi kpopers aku menjadi ga jamet aku kenal rp dan meet rl berkat corona aku bisa merawat diri berkat corona aku jadi lebih dewasa dan berkat corona aku dipeemukan dengan 1 org yg perna aku cintai dengan sedalam dalam nya semua sudah lost contact temen online temen rp mutualan ig dan tiktok pun sudah hilang akunnya bye guyssss love u so much ga seburuk itu kok kgn kenangan sm vibes nya doang,18.0,2023-08-04,12:37:39,ririnrahmatullah5157,positive
230,betul bgtt kangen masa masa itu pngin balik ke masa itu tp masa nya udah habis,0.0,2023-08-20,02:35:34,keyy_,negative
231,flasback coyyy,0.0,2023-08-02,13:00:52,sueparno7733,positive
232,akhirnya bisa terlepas juga dari pandemi ini saya kira gabakal bisa,1.0,2023-07-31,12:03:48,TunikAri-ql4yt,neutral
233,halo gw dari masa depan,1.0,2023-07-30,14:19:13,Zilongyt690,neutral
234,alhamdulillah,0.0,2023-07-28,09:46:02,SolehUdddin,positive
235,game over,0.0,2023-07-27,14:53:35,ArdianRailfans,neutral
236,ga kerasa ya 3 tahun yang lalu,0.0,2023-07-27,13:56:40,DaffaCuy,negative
237,iya,0.0,2023-08-05,09:34:46,intansabilachannel,positive
238,tetap semangat setelah melewati semuanya untuk bangkit kembali jakaa 27 juli 2023,0.0,2023-07-27,02:52:21,esamovie7100,positive
239,enakkan era 2020 2021 ketimbang 2022 sekarang bisa full mager main hp full 24jam sekolah online tapi kgk kerjakan naik kelas,5.0,2023-07-25,16:32:08,ZidnieAldino_YT,neutral
240,among us lemon tree,0.0,2023-07-27,11:54:36,Darrenrblx,neutral
241,darrenrblx fr gw kangen tuh era,1.0,2023-07-27,16:45:35,ZidnieAldino_YT,neutral
242,kita telah melewati sejarah yang ga akan pernah di lupa,1.0,2023-07-24,10:51:54,Ari-wn1gb,positive
243,halo saya dari masa depan,1.0,2023-07-24,08:15:40,VinsMusic101,neutral
244,kangen pas main diwarnet dan free fire,0.0,2023-07-22,14:11:23,artisdalam,neutral
245,etdah ni corona banyak banget dejavu nya,0.0,2023-07-22,05:33:56,citraamelia8993,negative
246,gak usah ada pandemi lagi benar2 bikin ekonomi negara lumpuh,0.0,2023-07-22,05:26:33,kaidowororororo6883,negative
247,3 tahun lalu ga kerasa alhamdulillah keluarga gaada yg kena fatal banget ada cuman ga parah allhamdullilah bersyukur bgt semangat kalian yang kehilangan orang tersayang terdekat i feel u viual hug for u guys,1.0,2023-07-22,02:05:47,chelsea6644,positive
248,kita adalah bagian dari sejarah,0.0,2023-08-18,09:42:22,Renkaa23,positive
249,udh 3 tahun aja,0.0,2023-07-20,05:27:41,alkadarmaulana2858,neutral
250,ini akan menjadi sejarah yg sangat besar untuk diceritakan kepada anak cucu kita,3.0,2023-07-20,03:08:07,thefortrast,positive
251,hallo,1.0,2023-07-19,07:40:56,alfarizialfa996,neutral
252,3 tahun yang lalu,0.0,2023-07-19,07:25:09,muhammadalmuhaimin1402,negative
253,sekarang 2023,0.0,2023-07-19,05:46:03,RafiKev,neutral
254,yah udh 3 tahun aja,0.0,2023-07-18,09:03:45,ridwangemingdani7786,negative
255,covid 19 yang bikin main ff dulu sangat seruh,0.0,2023-07-18,02:16:17,Bolengae,negative
256,gk kerasa 3tahun lalu,0.0,2023-07-17,12:45:57,RizkyRamdan-e4m,negative
257,rindu dengan vibes nya tetapi dulu pas corona orang tua saya cerai,0.0,2023-07-16,11:36:45,dianrafael9554,neutral
258,kenangan nya tak terlupakan,1.0,2023-07-12,23:29:29,m.fikri.ihsan.,negative
259,jaman main ff,0.0,2023-07-18,02:15:31,Bolengae,negative
260,tidak terasa sudah 3 tahun berlalu tapi kenangan paing banyak di 2020 dan 2021,0.0,2023-07-12,15:36:31,disharamanditya2965,negative
261,huaaa mama rindu vibes 2020,0.0,2023-07-11,10:03:38,clies,neutral
